,Year,Immature Male (<95mm),Mature Male (>=95mm),Mature Male +/- CI,Legal Male (>=78mm),Immature Female,Mature Female,Mature Female +/- CI,total.abundance
1,1980,2567.047139,194.8071586,65.03747047,513.3580881,898.5474262,4830.338598,3219.560289,8490.740322
2,1981,1575.406458,79.79104586,17.66422554,318.81436,233.3251473,2047.836164,713.9010299,3936.358815
3,1982,1778.983435,145.2703369,43.9500118,591.1213701,79.85273109,2317.236982,770.7909216,4321.343484
4,1983,1485.994317,150.3057955,41.19235447,511.7132142,240.4776065,1466.001017,610.9733135,3342.778736
5,1984,1223.644322,237.6275128,62.7669117,476.0876921,551.8573975,670.0179435,273.8227819,2683.147176
6,1985,444.5881462,105.8986402,23.34278877,195.9402154,213.0060372,103.423989,44.66128251,866.9168126
7,1986,1143.066051,110.5743699,27.03839956,211.1786641,842.1254578,267.4151271,110.4871705,2363.181006
8,1987,3758.580281,215.7225348,48.84643807,493.2700559,2955.461594,2040.222657,768.0260034,8969.987067
9,1988,3677.862138,276.9150425,94.75360152,683.7644232,1045.774453,2795.615538,975.4314934,7796.167172
10,1989,3110.966325,292.3474933,60.61437827,882.4669491,564.7360982,4625.911105,3417.768414,8593.961021
11,1990,2263.916552,710.4094893,213.9743235,1348.059101,1043.885049,3008.694645,1392.717973,7026.905736
12,1991,3331.816777,618.3320944,179.3703563,1093.772469,2270.747749,3545.37268,1930.78623,9766.2693
13,1992,2776.161438,293.2324133,62.67486123,512.9423149,1862.158876,2068.884684,848.9832693,7000.437412
14,1993,4805.538727,182.8226855,41.90168459,355.7599663,2909.240794,2396.291975,818.1521825,10293.89418
15,1994,4116.854949,106.4153619,22.18008826,320.6138204,2684.166218,2204.802209,552.387383,9112.238738
16,1995,3635.271918,127.9527322,43.9073419,515.6733699,1021.681025,3109.07351,825.8824894,7893.979185
17,1996,2309.820947,302.3993293,105.2398049,958.6459265,258.4109715,2107.165631,680.4162808,4977.796879
18,1997,1204.421131,447.1414438,100.4104798,945.797404,142.8586409,2001.046321,813.2261758,3795.467536
19,1998,778.1793376,308.3872426,59.30925518,514.5981116,335.9785679,1386.676719,791.1563509,2809.221867
20,1999,422.4355554,124.892452,23.91213484,198.7548752,187.616163,551.0105215,269.9713962,1285.954692
21,2000,971.1220429,102.4086282,31.79357351,191.1351964,391.8619687,1649.053396,1710.950742,3114.446035
22,2001,1529.424057,111.2677697,24.06530584,312.6682248,470.8743622,1243.755038,727.4834427,3355.321227
23,2002,596.3458338,114.7014888,54.75432441,284.4573335,121.0652248,502.8309108,342.5399255,1334.943458
24,2003,1073.70296,88.08829881,21.26151461,195.9628508,542.4015003,680.2005233,601.3908176,2384.393283
25,2004,1491.203891,79.93806567,24.23199665,147.7627163,1375.861103,931.9112589,525.2018236,3878.914318
26,2005,1890.250172,89.22300938,17.56075973,312.4846621,1512.231164,1110.942845,498.2849944,4602.647191
27,2006,1178.446774,171.8715064,119.4208909,377.6444296,765.7495185,744.2639688,304.8081923,2860.331767
28,2007,1260.797779,196.7293721,67.00808657,434.9900763,620.4286056,839.627637,623.1959364,2917.583394
29,2008,1008.839464,154.3210496,31.60335404,325.1795119,395.9326474,747.7250278,445.1539529,2306.818189
30,2009,1055.395177,195.667267,57.85761635,371.4671603,1059.873584,747.249003,356.6402651,3058.185031
31,2010,2460.54547,184.4492452,45.14457623,293.6814436,3027.579476,1777.786444,654.0823702,7450.360635
32,2011,1829.78972,194.0805771,45.70601529,330.7662079,1175.394358,3137.031039,1189.985545,6336.295694
33,2012,1384.869369,123.4870003,34.3140544,274.0690726,1165.456298,2656.059893,1309.624826,5329.87256
34,2013,1055.865602,112.5718708,27.58750144,279.9827322,1029.439738,2222.1632,994.7434893,4420.04041
35,2014,1527.819059,204.1690238,76.76553482,385.3388787,1590.779768,1815.550888,894.7252039,5138.318739
36,2015,1504.189137,84.19944903,22.3262106,183.7693743,1461.028466,1238.591486,497.3607995,4288.008539
37,2016,2361.902574,57.81065657,13.18993851,143.1606451,2131.636105,818.4234983,347.2114501,5369.772834
38,2017,3541.749363,57.95533191,14.01994,151.8671447,2494.75986,2086.903033,923.6536009,8181.367588
39,2018,5773.060268,100.5788117,41.16514896,437.7546037,2588.700008,3281.983185,1341.254179,11744.32227
40,2019,2018.040095,119.6868827,42.84975635,611.1446763,117.29433,2040.900692,785.4803478,4295.921999
41,2021,253.6427677,54.21076174,16.61840652,192.1193147,22.58376189,609.7769212,543.4188267,940.2142126
42,2022,602.5367724,42.24026703,14.64173697,92.57334803,903.8482675,408.6579926,280.4279613,1957.2833
