,Year,total.biomass,Immature Male (<95mm),Mature Male (>=95mm),Mature Male +/- CI,Legal Male (>=78mm),Immature Female,Mature Female,Mature Female +/- CI
1,1980,635311.00,236813.9692,99240.14656,30936.75615,180836.9622,27574.84753,271682.3128,174118.8713
2,1981,334415.00,166540.0954,38042.22352,8061.436682,97286.36216,10988.04882,118844.7552,40402.77792
3,1982,461484.00,250474.5889,65863.52176,19429.83961,177794.2348,3653.690548,141492.0007,43942.97125
4,1983,338689.00,184837.0669,68047.3199,18467.7353,163095.8499,3622.276913,82182.13146,32620.19997
5,1984,292897.00,119438.2271,119971.0694,32542.95432,183321.4235,14118.63122,39368.63789,15417.19404
6,1985,111158.00,44214.25915,55690.95418,12225.35147,79334.18175,5363.840378,5889.138213,2486.815986
7,1986,183350.00,83407.67904,58724.98081,14454.08238,84159.10265,26043.40157,15173.95578,6209.180987
8,1987,601417.00,266341.6688,107535.8466,23901.39105,178661.561,107988.5665,119551.2014,44271.57201
9,1988,677889.00,331332.2762,144135.2607,53991.58372,246514.5888,36802.55097,165618.5745,57314.36019
10,1989,795997.00,372788.4519,143215.8949,29275.24873,291752.7601,23265.11001,256727.5338,163114.0542
11,1990,867637.00,306732.6272,347749.6342,102169.0449,521712.5891,38212.57355,174941.8459,72149.33438
12,1991,909176.00,293255.3779,347976.3676,105726.7569,477618.4878,68924.88265,199019.5752,94676.08935
13,1992,518957.00,179620.7088,166483.0071,35961.71702,223584.6112,49374.38947,123479.1791,48801.9767
14,1993,574429.00,273570.102,98857.41899,22245.81557,143013.0129,74920.80596,127080.5647,41412.3629
15,1994,537863.00,289633.2589,57385.51321,12134.27765,109683.1502,68240.3264,122603.9573,33648.53484
16,1995,625762.00,368026.2176,61758.08122,20003.07133,158154.6972,31018.75397,164958.5218,44039.47491
17,1996,598602.00,341042.6826,143856.0789,52117.64092,312771.208,9273.932968,104429.1055,31007.97459
18,1997,548365.00,209131.1288,232388.1837,57041.83973,362927.7427,5452.246992,101393.429,39141.8779
19,1998,348162.00,100536.3033,164119.4257,32216.09877,219421.8711,13323.76645,70182.66369,38534.48739
20,1999,147488.00,44127.458,67352.24779,13849.77327,87095.51734,6159.729959,29848.97546,13944.91748
21,2000,238086.00,77782.2231,53942.10384,16021.82767,76829.87859,12479.87876,93882.09339,99120.4964
22,2001,315992.00,167670.5715,56448.59563,11370.38943,106070.2547,17032.81091,74840.10249,43557.37334
23,2002,172805.00,83001.92737,55906.78236,26885.93244,100733.9615,4387.746157,29508.06119,18447.69759
24,2003,179629.00,81606.32354,44423.17441,10557.92316,72395.59,14837.65226,38761.4577,30847.32687
25,2004,211706.00,89329.61044,44161.64954,14554.38152,61725.96591,30472.47876,47742.64892,26154.44469
26,2005,351825.00,184024.8377,50071.76486,10120.24471,105970.9197,55125.31101,62603.13408,27395.05892
27,2006,293414.00,124579.4121,90151.94497,61486.6394,141959.589,28090.32064,50592.43629,20185.50306
28,2007,322203.00,140003.4157,99875.01389,36248.93289,162108.0734,27875.46696,54448.60545,34545.77432
29,2008,252243.00,114296.5988,79600.44384,16992.82779,123529.7892,8993.745185,49351.95996,22755.55137
30,2009,281318.00,98467.92044,103188.2351,30882.64027,149587.6356,29659.9774,50001.74506,22623.29354
31,2010,436738.00,146024.9777,105278.0068,27470.72632,134169.8847,90479.30066,94956.06967,34177.24395
32,2011,471225.00,149214.31,111661.5264,25824.40533,145916.1296,41232.05655,169117.3547,63698.96657
33,2012,375852.00,123682.5221,67476.41395,18910.22818,104437.5691,41425.3386,143267.5027,65921.86392
34,2013,315931.00,100505.7793,58389.47071,14778.61373,99733.18114,31363.87131,125671.8108,50923.10997
35,2014,411418.00,140092.3124,105441.471,41571.1686,151453.064,54522.66088,111361.8575,46704.0683
36,2015,249174.00,85434.3169,46410.0262,14070.8448,71550.16248,35701.44458,81627.76999,29256.38422
37,2016,239519.00,103747.4779,29960.8878,6868.969448,51669.74715,53788.44534,52022.06204,21010.3755
38,2017,387878.00,188851.1017,29363.07497,7301.511142,52272.15518,66242.01559,103422.2085,44445.26509
39,2018,750691.00,458900.9907,47053.97446,18588.5746,130473.9915,83163.74583,161572.6899,63267.72295
40,2019,450654.00,284180.5404,54549.91067,19151.19963,175906.9209,5124.628852,106799.2185,41236.48517
41,2021,103687.00,49157.60071,24387.39452,7636.501856,60095.4853,297.5208992,29844.45146,25907.41904
42,2022,105290.00,37726.82351,20402.81537,7373.862058,33447.45595,26218.96999,20941.09143,14161.70158
