year,retained_catch,female_discard,male_discard,trawl_bycatch
1982,11.85,0.02,1.47,0.37
1983,12.16,0.01,1.43,0.47
1984,29.94,0.01,3.2,0.5
1985,44.45,0.01,4.65,0.43
1986,46.22,0.02,4.92,0
1987,61.4,0.03,6.4,0
1988,67.79,0.04,6.74,0
1989,73.4,0.05,7.74,0.1
1990,149.1,0.05,17.62,0.71
1991,143,0.06,13.9,1.5
1992,104.7,0.12,17.06,2.28
1993,67.94,0.08,5.32,1.57
1994,34.13,0.06,4.03,2.67
1995,29.81,0.02,5.75,1.01
1996,54.22,0.07,7.44,0.66
1997,114.4,0.01,5.73,0.82
1998,88.09,0.01,4.67,0.54
1999,15.1,0,0.52,0.47
2000,11.46,0,0.62,0.41
2001,14.8,0,1.89,0.31
2002,12.84,0,1.47,0.17
2003,10.86,0,0.57,0.46
2004,11.29,0,0.51,0.63
2005,16.77,0,1.36,0.2
2006,16.49,0,1.78,0.42
2007,28.59,0.01,2.53,0.18
2008,26.56,0.01,2.06,0.18
2009,21.78,0.01,1.23,0.47
2010,24.61,0.01,0.62,0.14
2011,40.29,0.18,1.69,0.15
2012,30.05,0.03,2.32,0.22
2013,24.49,0.07,3.27,0.11
2014,30.82,0.17,3.52,0.13
2015,18.42,0.07,2.96,0.13
2016,9.67,0.02,1.31,0.06
2017,8.6,0.02,1.93,0.04
2018,12.51,0.02,2.86,0.23
2019,15.43,0.02,5.07,0.24
2020,20.41,0,5.8,0.07
2021,2.48,0,1.16,0.06
