station_ID,year, gear_time,depth_m,gear_lat,gear_long,agv_GT10um ,avg_LT10um,avg_totalchla,avg_ratio
20030101001,2003,8/21/03 23:15,18,64.072,-164.627,NA,NA,0.833,NA
20030101002,2003,8/22/03 3:16,18,64.073,-163.696,NA,NA,0.969,NA
20030101003,2003,8/22/03 14:33,20,64.001,-166.110,NA,NA,0.330,NA
20030101004,2003,8/22/03 17:24,25,63.978,-166.400,NA,NA,0.270,NA
20030101005,2003,8/22/03 20:04,29,63.946,-167.003,NA,NA,1.782,NA
20030101006,2003,8/22/03 22:37,30,63.959,-167.492,NA,NA,3.606,NA
20030101007,2003,8/23/03 1:20,31,63.946,-168.002,NA,NA,1.246,NA
20030101008,2003,8/23/03 4:22,31,63.939,-168.556,NA,NA,1.178,NA
20030101009,2003,8/23/03 14:45,35,64.003,-170.056,NA,NA,0.548,NA
20030101010,2003,8/23/03 17:23,25,64.005,-170.365,NA,NA,0.369,NA
20030101011,2003,8/23/03 19:42,25,64.011,-170.903,NA,NA,1.366,NA
20030101012,2003,8/23/03 21:51,29,64.058,-171.363,NA,NA,1.770,NA
20030101013,2003,8/24/03 14:38,47,65.039,-169.451,NA,NA,2.256,NA
20030101014,2003,8/24/03 17:39,47,65.046,-168.962,NA,NA,5.192,NA
20030101015,2003,8/24/03 20:01,43,65.043,-168.621,NA,NA,5.823,NA
20030101016,2003,8/25/03 1:47,27,65.227,-167.572,NA,NA,1.649,NA
20030101029,2003,8/31/03 5:55,22,59.284,-166.065,3.133,NA,4.813,0.64
20030101030,2003,9/1/03 15:12,26,59.037,-166.045,2.999,NA,3.995,0.79
20030101031,2003,9/1/03 17:54,30,58.786,-166.059,2.105,NA,3.484,0.68
20030101032,2003,9/1/03 20:36,41,58.528,-166.059,1.276,NA,1.857,0.68
20030101033,2003,9/1/03 23:19,42,58.281,-166.049,0.307,NA,0.766,0.46
20030101034,2003,9/2/03 1:50,52,58.029,-166.073,0.456,NA,1.267,0.50
20030101035,2003,9/2/03 15:12,64,57.514,-166.081,1.265,NA,1.324,0.52
20030101036,2003,9/2/03 19:54,71,57.000,-166.082,2.998,NA,3.860,0.82
20030101037,2003,9/3/03 0:10,81,56.530,-165.943,1.649,NA,1.449,0.64
20030101038,2003,9/3/03 4:15,109,56.031,-165.945,0.085,NA,2.229,0.18
