"","YEAR","mean_cod_CPUE","mean_arctic_CPUE"
"1",1988,2.16932665433284,2.42123531632673
"2",1989,2.5228933468995,2.29809019404732
"3",1990,1.97013357210376,2.42889081006408
"4",1991,1.87941245326759,2.46054340833403
"5",1993,2.20166804290645,2.46948560773669
"6",1994,2.38099370893904,2.55007456901374
"7",1995,1.98700310747361,2.38335016093787
"8",1996,2.54877770252694,2.44252264991321
"9",1997,2.21493469470003,2.46317777592312
"10",1998,2.10729776268786,2.26186588989997
"11",1999,1.92761093409485,2.07369470779525
"12",2000,2.08558678708743,2.09175112492226
"13",2001,2.39248927453495,2.29184180724663
"14",2002,2.42982153339233,2.01071367562722
"15",2003,2.39371233274579,1.91063734423112
"16",2004,2.44984799337319,2.13260316047877
"17",2005,2.49852866424156,2.21529926094681
"18",2006,2.2251153665029,2.23425202359274
"19",2007,1.9679008330912,2.07107452148615
"20",2008,1.94227937840174,2.01296961692917
"21",2009,1.79402519514807,1.67883053174229
"22",2010,1.91139290737802,1.97989504441609
"23",2011,2.31944885362762,2.00847625886565
"24",2012,1.85226404429846,2.04582683399213
"25",2013,2.08858646335472,1.87482595349426
"26",2014,2.57571124762164,2.04162172051235
"27",2015,2.50524406759351,1.96355203408131
"28",2016,2.92049908679612,2.27679724893367
"29",2017,2.4085112602954,2.23245402271046
"30",2018,2.25133836284299,2.18482310430053
"31",2019,2.43727098372714,2.08385976598361
"32",2021,2.59140471663965,1.79880216854359
"33",2022,2.39637734782936,1.61778763737364
