"","YEAR","med_cod_CPUE","med_arctic_CPUE"
"1",1982,14.1815,10.6325
"2",1983,14.8069,14.5727
"3",1984,11.7707,14.7524
"4",1985,16.5531,11.8167
"5",1986,17.537,9.05705
"6",1987,17.82665,9.3428
"7",1988,10.8281,10.1528
"8",1989,13.75785,9.927
"9",1990,9.1666,11.0122
"10",1991,8.41605,11.2618
"11",1992,5.86265,9.3297
"12",1993,9.1701,11.54625
"13",1994,16.7189,13.5156
"14",1995,10.7553,10.894
"15",1996,12.9359,10.61195
"16",1997,8.2057,11.3554
"17",1998,8.0497,8.4718
"18",1999,7.8067,6.7186
"19",2000,8.2588,7.3975
"20",2001,11.7133,8.1146
"21",2002,9.308,6.3351
"22",2003,10.4373,5.7
"23",2004,11.19715,6.72335
"24",2005,12.05505,7.7538
"25",2006,15.03015,7.7051
"26",2007,8.00665,6.3771
"27",2008,9.54295,6.5253
"28",2009,5.595,3.15285
"29",2010,7.33255,5.39765
"30",2011,10.972,5.62295
"31",2012,7.9656,5.8098
"32",2013,11.199,5.2835
"33",2014,12.00685,7.1612
"34",2015,15.6267,6.6904
"35",2016,18.4065,8.41665
"36",2017,11.1274,8.5748
"37",2018,8.6024,9.12285
"38",2019,11.3517,7.1374
"39",2021,12.3238,5.3925
