"","year","catch_total","imm_total","mat_total","logmean_male3059","logmean_male6095"
"1",1986,41,25,16,0.0307716586667537,0.559615787935423
"2",1987,2420.74,184.465316408737,689.001771286849,0.119570665735579,1.26593229958935
"3",1988,8654.47,823.238788893487,685.378260351242,1.52364003815339,2.32963662647454
"4",1989,58807.35,8749.98031791674,4717.49628742238,1.30770625422345,2.86578444509434
"5",1990,880829.41,130090.47523314,79312.336604728,2.19104436595549,3.49845724294883
"6",1991,478593.91,102099.270268127,55733.9928699712,3.07916444964231,3.93662921739472
"7",1992,460502.43,68042.7871938848,44778.5087173997,3.67301930089847,3.86539067277739
"8",1993,311560.44,77100.9577704444,9467.82584372017,4.91292914184173,5.18951328180929
"9",1994,52767,12073.419317004,3690.19000950226,2.58405687814305,4.03687438618885
"10",1995,301935.5,96301.7106303547,18385.8992392716,3.10183430501897,4.65877226824
"11",1996,148376.5,51402.3993515756,19862.7762591537,2.59564607093782,4.76110512087301
"12",1997,2303654.56,832541.503563432,403180.336155766,3.14579059667553,4.59871339333176
"13",1998,2189174.77,784993.783652854,398337.52209412,3.34100312260348,4.50454243923374
"14",1999,752250.9,298819.090482169,176626.127224417,2.07224337877077,3.80201370121793
"15",2000,1691268,627940.239264035,212266.34546682,3.0894097900073,4.22840433266721
"16",2001,833536,354729.113174857,138475.672963962,2.10520869346198,4.03029499767385
"17",2002,533861,236680.071320578,102321.951203678,2.06734450581058,3.51761439291327
"18",2003,333370,150207.335581202,60209.9346856031,1.45483815116912,3.21672915574214
"19",2004,1190166,237524.412256839,86962.1780978514,2.73449028515387,3.57517241258485
"20",2005,2113167,482865.089144757,84405.5799410322,3.79458846848109,3.88975937393798
"21",2006,706779,188072.584180817,124067.547414597,1.79421974895513,3.60044687446794
"22",2007,1293920,234291.181980204,227358.08275991,1.54890171775467,3.92004488407006
"23",2008,900266,337085.703888897,227876.639972054,1.50608608689352,3.72582852608452
"24",2009,848392,221517.72245218,242314.41208981,0.863935955180238,3.61915734065707
"25",2010,1835570,467655.744207622,373129.739362936,2.03670354046588,4.40865623013441
"26",2011,801789,326491.259112329,171994.731776394,2.4312323759208,3.89184394519313
"27",2012,646856,277108.114671803,136339.190441331,2.6392089430336,3.72742758020537
"28",2013,708957,259900.554536062,186187.844939651,1.43390708539879,3.81380543733121
"29",2014,512229,213831.476941194,120411.087146217,2.14046384656782,3.51394864679922
"30",2015,520391,262733.297355537,69492.8730556801,2.74932138401597,3.57735913557967
"31",2016,179052,110895.647816504,32571.3228951996,1.96193126786256,3.02512605438567
"32",2017,201616,90965.410604321,34080.1031175669,1.37290335842686,3.02142691873206
"33",2018,1609036,652412.543734674,63040.2895179002,3.67594944593782,4.75663529345725
"34",2019,958529,426931.392611697,89935.1742319946,2.49323697253902,4.49566722658875
"35",2020,801896,337048.159704592,99618.0523934834,2.25183188765354,4.34816685670287
"36",2021,268186,160921.579670481,47321.9290799844,2.05393469031061,3.8255807149949
"37",2022,121250,66217.2806928635,31997.7259352831,0.986311066448282,4.00440097005389
