"","year","msr_potlifts","tot_imm_male","tot_mat_male","tot_male3059","tot_male6095","logmean_male3059pp","logmean_male6095pp","imm_male_pp","mat_male_pp"
"1",1995,417,32537,47239,27,33993,0.046987032032882,4.35656360772595,78.0263788968825,113.282973621103
"2",1996,402,30387,45869,16,32392,0.0555554135361514,4.46954962501374,75.589552238806,114.101990049751
"3",1997,539,31504,96968,10,35612,0.0221024168776429,4.31926038578465,58.4489795918367,179.903525046382
"4",1998,1197,46342,225619,78,53411,0.0965875701732306,4.00668712910392,38.7151211361738,188.487050960735
"5",1999,679,16726,96031,11,19418,0.0209457298212753,3.55731807715879,24.6332842415317,141.430044182622
"6",2000,287,4619,46137,3,5207,0.00790517950711325,2.82516493770513,16.0940766550523,160.756097560976
"7",2001,491,6781,58280,4,7762,0.0117765374176225,2.76282758494833,13.8105906313646,118.696537678208
"8",2002,827,17557,72115,22,19624,0.0411179686083753,3.3864107401707,21.229746070133,87.2007255139057
"9",2003,321,20495,53356,32,23067,0.115204947961706,4.36060837194408,63.8473520249221,166.218068535826
"10",2004,331,4457,39431,5,5074,0.0215129596729919,2.88045532361622,13.4652567975831,119.126888217523
"11",2005,150,5244,43135,8,5807,0.0863885777264394,3.83330991745913,34.96,287.566666666667
"12",2006,617,23004,128032,57,24947,0.0679264812570701,3.84469909719093,37.2836304700162,207.507293354943
"13",2007,315,26243,130374,6,29151,0.0333598786224584,4.62219111568158,83.3111111111111,413.885714285714
"14",2008,502,27247,192886,8,31274,0.0175285696943636,4.10347261641222,54.2768924302789,384.235059760956
"15",2009,514,16907,163230,2,20196,0.00293417874255947,3.72218623170154,32.8929961089494,317.568093385214
"16",2010,487,11455,146882,6,13562,0.0146223700860789,3.5401058506038,23.5215605749487,301.605749486653
"17",2011,617,4590,182797,1,5871,0.0027510333718898,2.33473607311909,7.43922204213938,296.267423014587
"18",2012,654,11689,159362,127,12859,0.213148564489324,3.33240900505161,17.8730886850153,243.672782874618
"19",2013,827,25744,213925,35,29156,0.0358354825120874,3.62519012533207,31.1293833131802,258.675937122128
"20",2014,799,47337,217693,30,54064,0.0488760413398382,4.24385306971187,59.2453066332916,272.456821026283
"21",2015,572,38360,134240,23,42171,0.0783652370553783,4.39967355034359,67.0629370629371,234.685314685315
"22",2016,530,28966,120567,27,32601,0.0529496218585075,4.00320572651284,54.6528301886792,227.484905660377
"23",2017,395,16995,73370,9,19084,0.0152541109170556,4.04705346704864,43.0253164556962,185.746835443038
"24",2018,317,22912,63400,35,25683,0.158343819057615,4.63027587257332,72.2776025236593,200
"25",2019,447,64962,120182,89,71103,0.178530213115381,5.1652714482244,145.328859060403,268.863534675615
"26",2020,838,124242,212179,76,139200,0.0753304726786753,5.11367997200161,148.260143198091,253.196897374702
"27",2021,483,42910,127042,4,48566,0.00508270963964888,4.61559051078494,88.8405797101449,263.026915113872
"28",2022,126,3558,24498,0,4331,0,3.30809321296831,28.2380952380952,194.428571428571
