"year","mean","sd"
1975,11.4386269803975,0.140788623561356
1976,11.3851593003976,0.129404705591314
1977,11.5886110716104,0.118099446584567
1978,11.1663467923829,0.105234115745777
1979,11.5395204284903,0.0852053610218512
1980,11.1364846661871,0.0849117683438975
1981,10.7001316063438,0.177298460133625
1982,10.6366054316925,0.0853141830812978
1983,10.3574202545602,0.110522644463546
1984,10.3714659404609,0.128620376885499
1985,9.75776338165119,0.272734719428836
1986,10.3371347057478,0.159820410387079
1987,11.200005793097,0.0380491711791487
1988,11.0654313985126,0.00516349359697017
1989,11.1576613294649,0.000933383770838552
1990,10.9380341825759,0.00140635488657112
1991,11.2743936791803,0.000669392327430563
1992,11.0113284987211,0.0243887281267796
1993,11.382166671707,1.66247534100084e-06
1994,11.2408666421027,2.84179193167598e-06
1995,11.0518302126555,NA
1996,10.559598887681,0.000374482468201554
1997,10.3123838069298,NA
1998,10.0863519450216,1.31775819581248e-06
1999,9.27766938373714,0.00415349444288508
2000,10.2133972930776,6.96352774890674e-05
2001,10.174716057466,NA
2002,9.29856836536562,0.000705847460928079
2003,9.9555137358599,NA
2004,10.0895731948176,0.000557973498182489
2005,10.3134233278038,0.0117392841164979
2006,9.89324246455254,0.0551826618758525
2007,10.0480367611029,NA
2008,9.78386390579073,NA
2009,10.1315695771637,NA
2010,11.0554675520917,NA
2011,10.8909271408377,NA
2012,10.6942287136777,NA
2013,10.4334195388445,NA
2014,10.6202660773291,NA
2015,10.4933871210591,NA
2016,10.7548771033699,NA
2017,11.1413697635816,NA
2018,11.5036523477406,NA
2019,10.4317948355114,NA
2021,8.59991842545338,NA
2022,9.54206448710914,NA
2020,NA,NA
