"model","period","ersst.year","borealization_index","annual.events"
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,0
"CanESM5","historical",1950,-0.94963207315485,1
"CanESM5","historical",1950,-0.94963207315485,1
"CanESM5","historical",1950,-0.94963207315485,1
"CanESM5","historical",1950,-0.94963207315485,1
"CanESM5","historical",1950,-2.7473633294723,0
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,0
"CanESM5","historical",1950,-2.7473633294723,0
"CanESM5","historical",1950,-2.7473633294723,0
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-2.7473633294723,1
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,0
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.80966088949516,1
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,0
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.93207019849214,1
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,0
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.92596417920014,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,0
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-1.13006664958995,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,0
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.23552819601439,1
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,0
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-2.56490461480327,1
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,0
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
"CanESM5","historical",1950,-1.85819664592885,1
