"model","period","ersst.year","borealization_index","annual.events"
"NorESM2-MM","historical",1950,-0.94963207315485,0
"NorESM2-MM","historical",1950,-0.94963207315485,0
"NorESM2-MM","historical",1950,-0.94963207315485,1
"NorESM2-MM","historical",1950,-0.94963207315485,0
"NorESM2-MM","historical",1950,-2.7473633294723,1
"NorESM2-MM","historical",1950,-2.7473633294723,1
"NorESM2-MM","historical",1950,-2.7473633294723,1
"NorESM2-MM","historical",1950,-2.7473633294723,1
"NorESM2-MM","historical",1950,-1.80966088949516,1
"NorESM2-MM","historical",1950,-1.80966088949516,0
"NorESM2-MM","historical",1950,-1.80966088949516,1
"NorESM2-MM","historical",1950,-1.80966088949516,0
"NorESM2-MM","historical",1950,-1.93207019849214,1
"NorESM2-MM","historical",1950,-1.93207019849214,0
"NorESM2-MM","historical",1950,-1.93207019849214,1
"NorESM2-MM","historical",1950,-1.93207019849214,0
"NorESM2-MM","historical",1950,-1.92596417920014,1
"NorESM2-MM","historical",1950,-1.92596417920014,0
"NorESM2-MM","historical",1950,-1.92596417920014,1
"NorESM2-MM","historical",1950,-1.92596417920014,0
"NorESM2-MM","historical",1950,-1.13006664958995,0
"NorESM2-MM","historical",1950,-1.13006664958995,0
"NorESM2-MM","historical",1950,-1.13006664958995,0
"NorESM2-MM","historical",1950,-1.13006664958995,0
"NorESM2-MM","historical",1950,-1.13006664958995,0
"NorESM2-MM","historical",1950,-1.13006664958995,0
"NorESM2-MM","historical",1950,-1.13006664958995,1
"NorESM2-MM","historical",1950,-1.13006664958995,0
"NorESM2-MM","historical",1950,-2.23552819601439,1
"NorESM2-MM","historical",1950,-2.23552819601439,0
"NorESM2-MM","historical",1950,-2.23552819601439,0
"NorESM2-MM","historical",1950,-2.23552819601439,1
"NorESM2-MM","historical",1950,-2.23552819601439,1
"NorESM2-MM","historical",1950,-2.23552819601439,0
"NorESM2-MM","historical",1950,-2.23552819601439,1
"NorESM2-MM","historical",1950,-2.23552819601439,0
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,0
"NorESM2-MM","historical",1950,-2.56490461480327,0
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-2.56490461480327,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,0
"NorESM2-MM","historical",1950,-1.85819664592885,0
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,0
"NorESM2-MM","historical",1950,-1.85819664592885,1
"NorESM2-MM","historical",1950,-1.85819664592885,0
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-1.98600119610621,1
"NorESM2-MM","historical",1950,-1.98600119610621,0
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,1
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
"NorESM2-MM","historical",1950,-0.799131126123398,0
