"","year","imp_log_mean","imp_sd","wtd_log_mean","unwtd_log_mean","n_stations"
"1",1975,7.46689361211803,0.655762032440821,5.82064373163034,5.82064373163034,118
"2",1976,8.03157021707566,0.52862702286346,6.84788191254194,6.84788191254194,179
"3",1977,8.85597296327036,0.548882580509723,7.11122068670042,7.11122068670042,137
"4",1978,6.76320191286712,0.393040915468801,5.85485130787454,5.85485130787454,211
"5",1979,5.48017812716301,0.561066104717202,4.15992687825842,4.15992687825842,189
"6",1980,6.01519398846833,0.216623902805249,5.11777569052598,5.11777569052598,272
"7",1981,5.94016744259175,0.289231224671675,5.26808817579851,5.56304005373841,246
"8",1982,6.05406299483337,0.192535810874257,5.11164254249314,5.12441751083941,287
"9",1983,5.83072547860346,0.156860918640021,4.70888933674822,5.16006349064548,305
"10",1984,5.21983883166657,0.141153657561327,4.05776647996888,4.50993539904173,307
"11",1985,4.71525922022925,0.134081993562232,3.62638827109834,4.10756643690541,305
"12",1986,4.69121348308608,0.143789788358111,3.55483628367525,4.15946019378553,305
"13",1987,5.27799785979963,0.0525811619171642,4.28037192274866,5.02083398277214,308
"14",1988,5.42870160350377,0.0162518054861182,4.62202677123868,5.11889603335913,323
"15",1989,5.24638014183837,0.0130068432320545,4.43643058309173,5.09138839069078,325
"16",1990,5.41928413417013,0.00234559804063367,4.6021456317314,5.20257285021291,323
"17",1991,5.60285952052248,0.00160291923664399,4.76139499868387,5.17912796562291,323
"18",1992,5.68233801217827,0.110152508385408,4.74773004649688,5.0168159411278,308
"19",1993,5.85490026647956,0.00234475869320528,4.94652203878332,5.50751652896759,326
"20",1994,5.3132442474338,0.000734805840808785,4.49154626840935,4.8474064105218,326
"21",1995,5.60976046217448,NA,4.7406811626082,5.26704159634271,327
"22",1996,5.38012522932916,0.000930207500660058,4.54481869475273,5.13746437916142,326
"23",1997,5.01211114752786,NA,4.236294642835,4.67057305271897,327
"24",1998,4.87791776851772,0.000440864681750802,4.1252020088742,4.45880501501348,326
"25",1999,4.29021538238669,0.000657053870661692,3.65161893752657,3.82636535270709,326
"26",2000,4.37458720396897,0.00218541202438784,3.73434721717073,4.00295497680164,324
"27",2001,4.60923511636962,0.00086631179529163,3.90716560924269,4.35151434423796,326
"28",2002,3.48463977094617,0.0134443995756781,2.95185845453402,3.20865700968485,326
"29",2003,3.18215505872248,NA,2.68998786248741,2.96320193423887,327
"30",2004,3.53766276070624,0.0105635629866926,2.99098836109615,3.51087347916212,326
"31",2005,3.95046801840856,0.0172116072742527,3.32343805803141,4.04210619801106,324
"32",2006,3.7929869722784,0.012146490330838,3.18975019363824,3.7338866484024,326
"33",2007,4.68369683886297,NA,3.95661149021976,4.48806019048802,327
"34",2008,4.78051994795683,NA,4.05149433662362,4.58816497735683,327
"35",2009,4.99980564451288,NA,4.22404080227371,4.74212527192005,327
"36",2010,5.18558218013024,NA,4.38347405596506,4.80476444075833,327
"37",2011,4.81336070215935,NA,4.0669989073322,4.56056681999146,327
"38",2012,4.78060954625518,NA,4.03956196798105,4.50489300734277,327
"39",2013,4.83125139663683,NA,4.08066563114133,4.64824089498458,327
"40",2014,4.70398921017315,NA,3.97197529698096,4.5888812832485,327
"41",2015,4.08698677244078,NA,3.45675532927233,3.70312849090627,327
"42",2016,3.70929186185532,NA,3.13338898077587,3.55882413082082,327
"43",2017,3.46850005162994,NA,2.93153310657214,3.28170537841654,327
"44",2018,4.18167079683426,NA,3.53504979205341,3.91399002891815,327
"45",2019,4.43761772693163,NA,3.76559968915637,4.12037854934336,327
"46",2021,3.11744028976083,NA,2.63302614232849,3.0189241541086,327
"47",2022,3.10714431426746,NA,2.62497814953572,3.00080137908038,327
