"year","sst"
1854,3.72202259655331
1855,3.43614468837738
1856,3.48317901710742
1857,3.50824789689872
1858,3.53696253680698
1859,3.4241303332188
1860,2.88578128707126
1861,3.37967731862003
1862,3.38384053123727
1863,3.35248356708028
1864,3.34631520248712
1865,3.2987617347622
1866,3.10018949232025
1867,3.24270092113208
1868,3.2508959574093
1869,3.55599035276192
1870,3.32584180170315
1871,3.54678768330661
1872,3.22804414708757
1873,3.42203467624819
1874,4.15445442701028
1875,3.07114223453025
1876,3.48576848402255
1877,3.83413919647489
1878,4.08407609158178
1879,3.61925130234761
1880,3.33712296339636
1881,3.35043366196581
1882,3.80365672815078
1883,3.57467259182832
1884,3.79443684245637
1885,2.14337252431788
1886,2.50159245016378
1887,2.83150577081696
1888,4.87737356155061
1889,3.50239380636949
1890,2.86614239550821
1891,4.03625722377637
1892,2.37819833538666
1893,3.45865311775876
1894,3.26633886390814
1895,3.39028297167709
1896,2.80660075465202
1897,2.77790147136609
1898,3.7495313318805
1899,3.84845278120207
1900,3.38919116232166
1901,3.62519511810537
1902,4.42064293482547
1903,3.04627942438932
1904,3.8546095288834
1905,3.85929944754456
1906,3.88621478390662
1907,3.57510719491303
1908,3.12671848102554
1909,3.22085927255812
1910,2.75961332187387
1911,2.90020074632971
1912,3.21648578192096
1913,3.77981545025436
1914,3.7469623659132
1915,3.80946451590951
1916,2.75893590003388
1917,3.34504097036531
1918,3.23057957734937
1919,2.91449614498175
1920,2.43833152502601
1921,3.02513451536589
1922,3.15833684333618
1923,3.22210216542864
1924,2.9200751868373
1925,3.67928826938089
1926,5.00407915897893
1927,3.53947724707022
1928,3.154068289759
1929,3.67261637692459
1930,3.51020483639343
1931,3.36657949262818
1932,3.76174615950176
1933,2.78693645193273
1934,3.14997852688333
1935,4.00988068599772
1936,4.2404915590618
1937,4.00101488381243
1938,2.83872430909576
1939,2.72986973973183
1940,3.16007227969751
1941,4.52577729989241
1942,4.49356372143938
1943,3.19340290128317
1944,3.60153869730427
1945,3.95524619761647
1946,3.39801052844411
1947,3.26370285520128
1948,3.12445583511897
1949,2.95426000800859
1950,2.8885963485432
1951,3.00360705535275
1952,2.64249113358705
1953,3.41532214895531
1954,3.25249666646123
1955,2.95816554807512
1956,3.28792790006321
1957,4.10778333331636
1958,3.75470084014789
1959,3.3945318638363
1960,3.72932294637236
1961,3.25676442148786
1962,3.38879451763566
1963,3.48064526769771
1964,3.23898396057881
1965,3.13871777935323
1966,3.70198287610796
1967,4.4229970054127
1968,3.51946199274049
1969,3.91254506753572
1970,3.6544879208953
1971,2.62621138783587
1972,2.88459528337747
1973,3.2875498130748
1974,3.82197105974611
1975,3.2495028722
1976,3.24923542390992
1977,4.05603502865619
1978,4.33489868082161
1979,4.65887440593016
1980,3.73357916787776
1981,4.50225722457116
1982,3.5583835047382
1983,4.3085260485801
1984,4.14149389204766
1985,3.83982167296294
1986,4.06744180287915
1987,4.11948934376785
1988,3.9998681488943
1989,4.16774453496891
1990,4.00322167651232
1991,4.24207198265682
1992,3.56521219422247
1993,4.35285063660444
1994,4.06435988633218
1995,3.99954874527867
1996,4.45345711192708
1997,4.57488499289571
1998,3.92033913134441
1999,3.32353114778799
2000,3.90321642858132
2001,4.48563611351342
2002,4.63151841738158
2003,5.24270867360515
2004,4.65059669546305
2005,4.77357913420369
2006,4.14889702937262
2007,3.98461301106167
2008,3.52939946636047
2009,3.60247866578893
2010,3.68797990152242
2011,3.91507287626566
2012,3.11347427906997
2013,3.98837283205183
2014,5.16383141174962
2015,5.15408768777654
2016,5.9779786001981
2017,5.14963550556151
2018,5.52983887129898
2019,5.8996814689552
2020,5.06194909222129
2021,4.36262832128509
2022,4.08309921398184
