"model","period","borealization_index"
"ACCESS-CM2","preindustrial",-1.11160222326729
"ACCESS-CM2","preindustrial",-1.24572136685005
"ACCESS-CM2","preindustrial",-0.941180462683644
"ACCESS-CM2","preindustrial",-0.932376253130377
"ACCESS-CM2","preindustrial",-0.812569137846614
"ACCESS-CM2","preindustrial",-0.922445421811668
"ACCESS-CM2","preindustrial",-2.29331201126523
"ACCESS-CM2","preindustrial",-1.78484645449921
"ACCESS-CM2","preindustrial",-0.400606870519283
"ACCESS-CM2","preindustrial",-2.35715845192352
"ACCESS-CM2","preindustrial",-2.58066822464384
"ACCESS-CM2","preindustrial",-1.90414234417773
"ACCESS-CM2","preindustrial",-1.56064367343497
"ACCESS-CM2","preindustrial",-0.420311778968234
"ACCESS-CM2","preindustrial",-1.33283767946116
"ACCESS-CM2","preindustrial",-0.531689398633667
"ACCESS-CM2","preindustrial",-0.433562224633134
"ACCESS-CM2","preindustrial",-2.3200739291238
"ACCESS-CM2","preindustrial",-0.945002483014417
"ACCESS-CM2","preindustrial",-2.65063649866127
"ACCESS-CM2","preindustrial",-1.68620156254764
"ACCESS-CM2","preindustrial",0.337575523928838
"ACCESS-CM2","preindustrial",-1.27502708233249
"ACCESS-CM2","preindustrial",-1.21771760732338
"ACCESS-CM2","preindustrial",-3.17816307267036
"ACCESS-CM2","preindustrial",-1.6350277851895
"ACCESS-CM2","preindustrial",-1.2677828767132
"ACCESS-CM2","preindustrial",-1.11235339466763
"ACCESS-CM2","preindustrial",-1.5675097609731
"ACCESS-CM2","preindustrial",-1.08196633928934
"ACCESS-CM2","preindustrial",-2.19334726552787
"ACCESS-CM2","preindustrial",-2.04605078233299
"ACCESS-CM2","preindustrial",-2.09650219451168
"ACCESS-CM2","preindustrial",-2.09592288754805
"ACCESS-CM2","preindustrial",0.577255330955294
"ACCESS-CM2","preindustrial",-0.0667597322276635
"ACCESS-CM2","preindustrial",-0.518778797113596
"ACCESS-CM2","preindustrial",-1.07196260755342
"ACCESS-CM2","preindustrial",-2.01491661842627
"ACCESS-CM2","preindustrial",-1.07920462464321
"ACCESS-CM2","preindustrial",-2.69211609525565
"ACCESS-CM2","preindustrial",-3.75257057024977
"ACCESS-CM2","preindustrial",-0.253978060863753
"ACCESS-CM2","preindustrial",-1.42661397206961
"ACCESS-CM2","preindustrial",-2.92207812093778
"ACCESS-CM2","preindustrial",-2.98072786249625
"ACCESS-CM2","preindustrial",-1.63700923850257
"ACCESS-CM2","preindustrial",-3.83504330967652
"ACCESS-CM2","preindustrial",-2.30904894260281
"ACCESS-CM2","preindustrial",-0.812393105443996
"ACCESS-CM2","preindustrial",0.233375594846967
"ACCESS-CM2","preindustrial",-0.150392691851198
"ACCESS-CM2","preindustrial",0.556406795979377
"ACCESS-CM2","preindustrial",0.33272694410189
"ACCESS-CM2","preindustrial",-2.19647261671615
"ACCESS-CM2","preindustrial",-0.95645372445415
"ACCESS-CM2","preindustrial",-1.24720725176345
"ACCESS-CM2","preindustrial",0.37059782840532
"ACCESS-CM2","preindustrial",-2.32196500179008
"ACCESS-CM2","preindustrial",-2.26270424725249
"ACCESS-CM2","preindustrial",-1.48683197539587
"ACCESS-CM2","preindustrial",-1.10621166635581
"ACCESS-CM2","preindustrial",0.659510945489666
"ACCESS-CM2","preindustrial",-0.148264827020092
"ACCESS-CM2","preindustrial",0.244837704698928
"ACCESS-CM2","preindustrial",0.293142650326109
"ACCESS-CM2","preindustrial",0.921200677194015
"ACCESS-CM2","preindustrial",-1.07856417983866
"ACCESS-CM2","preindustrial",-0.968975696312175
"ACCESS-CM2","preindustrial",0.315043507080864
"ACCESS-CM2","preindustrial",-2.04045376742606
"ACCESS-CM2","preindustrial",0.294181684737263
"ACCESS-CM2","preindustrial",0.961915117005106
"ACCESS-CM2","preindustrial",0.0844457321554057
"ACCESS-CM2","preindustrial",-0.209165281139649
"ACCESS-CM2","preindustrial",-0.182817467195627
"ACCESS-CM2","preindustrial",-0.137439747318248
"ACCESS-CM2","preindustrial",-0.594572676764579
"ACCESS-CM2","preindustrial",-0.995948848964561
"ACCESS-CM2","preindustrial",-0.686165065518594
"ACCESS-CM2","preindustrial",-2.49092765548557
"ACCESS-CM2","preindustrial",-2.15677250904433
"ACCESS-CM2","preindustrial",-2.23242943131105
"ACCESS-CM2","preindustrial",-1.39165790770607
"ACCESS-CM2","preindustrial",0.488034465550646
"ACCESS-CM2","preindustrial",-1.5718640300209
"ACCESS-CM2","preindustrial",-0.560779719977759
"ACCESS-CM2","preindustrial",-0.194753293503835
"ACCESS-CM2","preindustrial",-1.59980382756425
"ACCESS-CM2","preindustrial",-1.16689946477983
"ACCESS-CM2","preindustrial",-0.470339282753785
"ACCESS-CM2","preindustrial",-1.19813857055042
"ACCESS-CM2","preindustrial",-0.089815129847759
"ACCESS-CM2","preindustrial",-2.66045771233299
"ACCESS-CM2","preindustrial",-1.58687076326223
"ACCESS-CM2","preindustrial",-2.22078547265465
"ACCESS-CM2","preindustrial",-0.976664311512583
"ACCESS-CM2","preindustrial",0.639745132946367
"ACCESS-CM2","preindustrial",0.829910400966654
"ACCESS-CM2","preindustrial",-0.499693301589071
"ACCESS-CM2","preindustrial",-0.937929352851217
"ACCESS-CM2","preindustrial",0.21758393524803
"ACCESS-CM2","preindustrial",-0.217784584435271
"ACCESS-CM2","preindustrial",-1.66348671172828
"ACCESS-CM2","preindustrial",-0.775684522602825
"ACCESS-CM2","preindustrial",-1.06383376392045
"ACCESS-CM2","preindustrial",-0.40183257521445
"ACCESS-CM2","preindustrial",-0.427463130763857
"ACCESS-CM2","preindustrial",0.340442295650787
"ACCESS-CM2","preindustrial",-0.183104979182703
"ACCESS-CM2","preindustrial",-1.46456379019016
"ACCESS-CM2","preindustrial",-0.993109711710548
"ACCESS-CM2","preindustrial",-1.06598018272789
"ACCESS-CM2","preindustrial",-0.722439515668685
"ACCESS-CM2","preindustrial",1.00394060411313
"ACCESS-CM2","preindustrial",-0.024145993951774
"ACCESS-CM2","preindustrial",1.22148455811156
"ACCESS-CM2","preindustrial",0.63497259757733
"ACCESS-CM2","preindustrial",-0.900525633212687
"ACCESS-CM2","preindustrial",-0.935880121589321
