"model","year","borealization_index"
"ACCESS-CM2",1941,-0.896487749474611
"ACCESS-CM2",1941,0.221466386098654
"ACCESS-CM2",1941,-0.678050670148682
"ACCESS-CM2",1941,-0.112926976481993
"ACCESS-CM2",1942,-0.944435549281933
"ACCESS-CM2",1942,-0.689207827984437
"ACCESS-CM2",1942,-0.822349424205941
"ACCESS-CM2",1942,-0.732677027766936
"ACCESS-CM2",1943,-1.68693611140469
"ACCESS-CM2",1943,-0.941340243157096
"ACCESS-CM2",1943,-0.120802666454261
"ACCESS-CM2",1943,-1.66890728054537
"ACCESS-CM2",1944,-0.979535003505946
"ACCESS-CM2",1944,0.121607067932671
"ACCESS-CM2",1944,-0.893958064270466
"ACCESS-CM2",1944,-0.477427053954888
"ACCESS-CM2",1945,0.296591055818532
"ACCESS-CM2",1945,-0.785930304620218
"ACCESS-CM2",1945,1.08406504568143
"ACCESS-CM2",1945,1.00802239531957
"ACCESS-CM2",1946,1.11121115169846
"ACCESS-CM2",1946,0.149131315044022
"ACCESS-CM2",1946,-0.519038664047465
"ACCESS-CM2",1946,-0.41207334559553
"ACCESS-CM2",1947,0.485841038206978
"ACCESS-CM2",1947,0.925179410888509
"ACCESS-CM2",1947,-0.134960035622647
"ACCESS-CM2",1947,0.44099440252799
"ACCESS-CM2",1948,-1.11633614245833
"ACCESS-CM2",1948,-1.2579356916688
"ACCESS-CM2",1948,-1.179443428162
"ACCESS-CM2",1948,-0.60238341817588
"ACCESS-CM2",1949,-1.88721546755839
"ACCESS-CM2",1949,-1.50084756001955
"ACCESS-CM2",1949,-2.39468325057208
"ACCESS-CM2",1949,-1.80299818554589
"ACCESS-CM2",1950,-1.18306371781824
"ACCESS-CM2",1950,-0.0957817142438179
"ACCESS-CM2",1950,-0.75406761604945
"ACCESS-CM2",1950,-0.709329124184699
"ACCESS-CM2",1951,-1.18131467207228
"ACCESS-CM2",1951,-0.969909829029668
"ACCESS-CM2",1951,-0.232889406748555
"ACCESS-CM2",1951,-0.761226369384665
"ACCESS-CM2",1952,-0.923209239777545
"ACCESS-CM2",1952,-0.248178277703813
"ACCESS-CM2",1952,-0.505794707799739
"ACCESS-CM2",1952,-0.661565148234096
"ACCESS-CM2",1953,-0.501216394742492
"ACCESS-CM2",1953,-0.802664313149865
"ACCESS-CM2",1953,-0.258763412940018
"ACCESS-CM2",1953,-1.15107570411675
"ACCESS-CM2",1954,0.00533621595571497
"ACCESS-CM2",1954,-0.997340207107977
"ACCESS-CM2",1954,-0.815337137896102
"ACCESS-CM2",1954,-0.664356919224214
"ACCESS-CM2",1955,-0.191533122208706
"ACCESS-CM2",1955,-0.809590544770544
"ACCESS-CM2",1955,-0.459182446425766
