"model","year","borealization_index"
"ACCESS-CM2",1940,-2.90032256495357
"ACCESS-CM2",1940,-1.43521325867536
"ACCESS-CM2",1940,-0.794819671386889
"ACCESS-CM2",1940,-1.4501095857311
"ACCESS-CM2",1941,-0.544646027586132
"ACCESS-CM2",1941,-0.509214896917389
"ACCESS-CM2",1941,-0.104515201027635
"ACCESS-CM2",1941,-0.152249961185749
"ACCESS-CM2",1942,-0.738539764904512
"ACCESS-CM2",1942,-1.33023823030216
"ACCESS-CM2",1942,-0.370076845345848
"ACCESS-CM2",1942,-0.37274934635657
"ACCESS-CM2",1943,-0.754735902349656
"ACCESS-CM2",1943,-1.35497685614836
"ACCESS-CM2",1943,-1.48326630529012
"ACCESS-CM2",1943,-0.910341802444188
"ACCESS-CM2",1944,0.587917701266846
"ACCESS-CM2",1944,-1.40653499261618
"ACCESS-CM2",1944,0.506708958476942
"ACCESS-CM2",1944,1.6873672177977
"ACCESS-CM2",1945,1.96707656504568
"ACCESS-CM2",1945,1.24341901682864
"ACCESS-CM2",1945,2.29147027242085
"ACCESS-CM2",1945,0.737586809200005
"ACCESS-CM2",1946,0.885231338988036
"ACCESS-CM2",1946,0.429657174706191
"ACCESS-CM2",1946,0.0573624787879464
"ACCESS-CM2",1946,-0.307488488456335
"ACCESS-CM2",1947,1.32326944538873
"ACCESS-CM2",1947,-0.445210197042195
"ACCESS-CM2",1947,0.164840140008712
"ACCESS-CM2",1947,-0.656633997515637
"ACCESS-CM2",1948,-2.80516753217579
"ACCESS-CM2",1948,-3.30007835770764
"ACCESS-CM2",1948,-2.53808804559986
"ACCESS-CM2",1948,-3.06624098440689
"ACCESS-CM2",1949,-1.51366393408526
"ACCESS-CM2",1949,-0.66896001756461
"ACCESS-CM2",1949,-0.140445383461534
"ACCESS-CM2",1949,-1.13380367569824
"ACCESS-CM2",1950,-1.03205147195508
"ACCESS-CM2",1950,-0.802926672734592
"ACCESS-CM2",1950,-1.45990149474709
"ACCESS-CM2",1950,-0.845801804621296
