"model","borealization_index"
"ACCESS-CM2",-1.75878539120328
"ACCESS-CM2",-2.8619480080226
"ACCESS-CM2",-0.735512809853923
"ACCESS-CM2",-0.911093859680229
"ACCESS-CM2",-1.01693658589477
"ACCESS-CM2",-1.70919923721281
"ACCESS-CM2",-2.11370322590055
"ACCESS-CM2",-1.20960311987237
"ACCESS-CM2",-0.805243593125448
"ACCESS-CM2",-2.11931268279262
"ACCESS-CM2",-1.77214440510266
"ACCESS-CM2",-1.59009290514061
"ACCESS-CM2",-1.16328829563699
"ACCESS-CM2",-1.18959613542009
"ACCESS-CM2",-1.01268038059992
"ACCESS-CM2",-1.22555543265894
"ACCESS-CM2",0.458080293698422
"ACCESS-CM2",-0.887846532407936
"ACCESS-CM2",-1.64743920930738
"ACCESS-CM2",-2.69089153740283
"ACCESS-CM2",-1.8406068532423
"ACCESS-CM2",-1.35291927471417
"ACCESS-CM2",-1.29567760041815
"ACCESS-CM2",-1.81482828815472
"ACCESS-CM2",-1.63457154522188
"ACCESS-CM2",-1.27715546789509
"ACCESS-CM2",-1.71060567069527
"ACCESS-CM2",-2.2530577244083
"ACCESS-CM2",-0.766783015682872
"ACCESS-CM2",-2.32146634085955
"ACCESS-CM2",-3.17252621248931
"ACCESS-CM2",-3.23769486689767
"ACCESS-CM2",-2.49643240710096
"ACCESS-CM2",-0.224051165298048
"ACCESS-CM2",-0.512257320308411
"ACCESS-CM2",-0.189096593406094
"ACCESS-CM2",-0.0346498558907868
"ACCESS-CM2",-1.70555993896082
"ACCESS-CM2",-1.01230297590595
"ACCESS-CM2",-1.97400773503421
"ACCESS-CM2",-1.25575923545937
"ACCESS-CM2",-2.1106640641593
"ACCESS-CM2",-1.85205407644432
"ACCESS-CM2",-1.83721543060857
"ACCESS-CM2",-3.17373226486146
"ACCESS-CM2",-2.63423667527773
"ACCESS-CM2",-1.08812681793383
"ACCESS-CM2",-1.78667138468573
"ACCESS-CM2",-1.87823286085483
"ACCESS-CM2",-1.39486850846532
"ACCESS-CM2",-0.838382759688794
"ACCESS-CM2",-0.21246284878244
"ACCESS-CM2",-1.61004162626467
"ACCESS-CM2",-1.57814717693646
"ACCESS-CM2",-2.20377345498795
"ACCESS-CM2",-1.12750455208014
"ACCESS-CM2",0.241031900002993
"ACCESS-CM2",-0.912452249923552
"ACCESS-CM2",-3.44968064811146
"ACCESS-CM2",-2.6544566723097
"ACCESS-CM2",-0.708414895678639
"ACCESS-CM2",-0.258284664915176
"ACCESS-CM2",0.581287608619258
"ACCESS-CM2",0.0608124265812263
"ACCESS-CM2",-0.890781424198073
