"year","name","value"
1998,"Bloom timing",149.4705882
1999,"Bloom timing",141.1481481
2000,"Bloom timing",147.1428571
2001,"Bloom timing",140.4285714
2002,"Bloom timing",135.2857143
2003,"Bloom timing",119.4285714
2004,"Bloom timing",132.7142857
2005,"Bloom timing",125.1428571
2006,"Bloom timing",144.2857143
2007,"Bloom timing",124.36
2008,"Bloom timing",133.8571429
2009,"Bloom timing",141
2010,"Bloom timing",130
2011,"Bloom timing",137.7142857
2012,"Bloom timing",133.6666667
2013,"Bloom timing",133.7692308
2014,"Bloom timing",127.7142857
2015,"Bloom timing",143.5714286
2016,"Bloom timing",132.2857143
2017,"Bloom timing",116.8571429
2018,"Bloom timing",153.7142857
2019,"Bloom timing",120.5714286
2020,"Bloom timing",131.5714286
2021,"Bloom timing",133.8571429
2022,"Bloom timing",123.4285714
1998,"Open water bloom",49
1999,"Open water bloom",34
2000,"Open water bloom",56
2001,"Open water bloom",55
2002,"Open water bloom",56
2003,"Open water bloom",39
2004,"Open water bloom",43
2005,"Open water bloom",47
2006,"Open water bloom",34
2007,"Open water bloom",16
2008,"Open water bloom",25
2009,"Open water bloom",26
2010,"Open water bloom",13
2011,"Open water bloom",31
2012,"Open water bloom",11
2013,"Open water bloom",25
2014,"Open water bloom",50
2015,"Open water bloom",46
2016,"Open water bloom",50
2017,"Open water bloom",20
2018,"Open water bloom",56
2019,"Open water bloom",56
2020,"Open water bloom",50
2021,"Open water bloom",56
2022,"Open water bloom",25
1972,"Jan-Feb ice cover",0.1213298256726
1972,"Mar-Apr ice cover",1.08513615297961
1973,"Jan-Feb ice cover",0.187774783865105
1973,"Mar-Apr ice cover",1.02687591037182
1974,"Jan-Feb ice cover",0.396186209029598
1974,"Mar-Apr ice cover",0.883769983169038
1975,"Jan-Feb ice cover",1.17589558088682
1975,"Mar-Apr ice cover",1.75498002806618
1976,"Jan-Feb ice cover",1.73933285044118
1976,"Mar-Apr ice cover",1.99655853338278
1977,"Jan-Feb ice cover",0.955816606161274
1977,"Mar-Apr ice cover",0.711338323169242
1978,"Jan-Feb ice cover",-0.361058928104592
1978,"Mar-Apr ice cover",-0.290153735948514
1979,"Jan-Feb ice cover",-1.86627375310705
1979,"Mar-Apr ice cover",-1.46337856909244
