"t","estimate","conf.low","conf.high"
1972,-1.33512428744925,-2.16480488086537,-0.505443694033128
1973,-1.341614163827,-2.12618329037756,-0.557045037276445
1974,-1.37013307402115,-2.15047609231923,-0.589790055723073
1975,-2.01078184442024,-2.65071832474819,-1.37084536409228
1976,-2.05074826036768,-2.68896927643946,-1.41252724429591
1977,-0.670087481776149,-1.3082896102687,-0.0318853532835955
1978,0.445871694466618,-0.192330226236363,1.0840736151696
1979,1.42131228901458,0.783110380865531,2.05951419716363
1980,0.39835574257097,-0.239845231468994,1.03655671661093
1981,0.784238116507476,0.146122101636356,1.4223541313786
1982,0.778408155087189,0.148066919571547,1.40874939060283
1983,0.114101742370532,-0.516157590938563,0.744361075679627
1984,-0.665662287259491,-1.2959207630698,-0.0354038114491833
1985,-0.0471617923042036,-0.677420259098307,0.5830966744899
1986,-0.00545670649891807,-0.635715169477132,0.624801756479296
1987,0.764478560171383,0.134220452707725,1.39473666763504
1988,-0.318788790858659,-0.949012939015551,0.311435357298232
1989,1.13563196998114,0.508660067546711,1.76260387241557
1990,-0.333199216251981,-0.960137680526179,0.293739248022218
1991,-0.682310904679228,-1.3092490173305,-0.0553727920279522
1992,-1.27403650702606,-1.90097376605218,-0.647099247999951
1993,-0.0466515596835555,-0.673505913398093,0.580202794030982
1994,-0.757445149833145,-1.37616150150805,-0.138728798158242
1995,-1.08429472774165,-1.70289887095108,-0.465690584532215
1996,0.868052178215603,0.249449126938987,1.48665522949222
1997,-0.122405800952151,-0.741008841676714,0.496197239772413
1998,-0.0588025553971897,-0.677405603511253,0.559800492716874
1999,-0.59399816753927,-1.2126019857008,0.0246056506222639
2000,0.0458839637107559,-0.572798987738696,0.664566915160208
2001,0.996817450208076,0.370055191118109,1.62357970929804
2002,0.527787148976977,-0.090133677247664,1.14570797520162
2003,0.712644510567003,0.181847155028033,1.24344186610597
2004,0.739475436229211,0.209178140313329,1.26977273214509
2005,0.916075792588015,0.385781149168787,1.44637043600724
2006,-0.175437329266649,-0.70573195862271,0.354857300089411
2007,-0.957998048035894,-1.48829267731739,-0.427703418754394
2008,-1.44546150267707,-1.97575613195819,-0.915166873395959
2009,-1.45783795640461,-1.98813258568737,-0.92754332712185
2010,-1.83150838571896,-2.36180301531285,-1.30121375612507
2011,-0.242650819508118,-0.772945507784828,0.287643868768593
2012,-1.92157884614009,-2.45188460267263,-1.39127308960755
2013,-1.203317034535,-1.73570629870293,-0.670927770367075
2014,0.669372429987918,0.139066673128356,1.19967818684748
2015,1.03150933958089,0.501214589626007,1.56180408953577
2016,1.60753151515625,1.07722525235763,2.13783777795486
2017,0.341810042401829,-0.190674269475755,0.874294354279414
2018,2.26890063341164,1.72116219917995,2.81663906764334
2019,2.3197528982788,1.76913579967825,2.87036999687934
2020,1.40466494163732,0.780981392186086,2.02834849108856
2021,1.27958140232648,0.728111694239205,1.83105111041375
2022,0.0906698352666011,-0.579123112238195,0.760462782771397
