"","year","imp_log_mean","imp_sd","wtd_log_mean","unwtd_log_mean","n_stations"
"1",1975,7.07885072417732,1.01918596652925,2.07125434751432,2.07125434751432,71
"2",1976,6.44399242735079,0.687856982597052,3.60158012054583,3.60158012054583,133
"3",1977,6.97508245936648,0.802691035263875,2.61681227149139,2.61681227149139,90
"4",1978,5.33325816096811,0.484573744173612,2.9027138168581,2.9027138168581,161
"5",1979,5.39945828495499,0.642792828256512,2.3266667923756,2.3266667923756,137
"6",1980,4.35654532550732,0.212414124075236,2.38148135960949,2.38148135960949,216
"7",1981,2.79953198077957,0.193759578958899,1.50772698836791,1.37908885357289,229
"8",1982,2.36147005385683,0.14603057532336,1.26321859446106,1.13898663034172,240
"9",1983,1.77002303751911,0.162961171474302,0.752207905790239,0.821763890462675,245
"10",1984,3.38528292476735,0.182500809710175,1.81082978149185,2.00314879396141,247
"11",1985,2.94427025348244,0.184495863829881,1.55404638879294,1.93912215693082,246
"12",1986,4.06344705626304,0.168183130043208,2.34113407586878,2.72283493411503,246
"13",1987,4.57767466923637,0.0687560097373567,2.90892075369346,3.63553316275338,250
"14",1988,4.46826731049667,0.00336666056220226,3.01560738728688,3.30670575186169,264
"15",1989,3.3473833172194,0.00750541088160383,2.25154290974076,2.50815996128563,266
"16",1990,3.12472585907819,0.00233423712189073,2.08682290848503,2.29230348998599,264
"17",1991,4.07712968375238,0.00170644668795973,2.73273110567944,3.05875408285432,265
"18",1992,4.97791501732778,0.156555855012254,3.20382644763074,3.29486638484974,252
"19",1993,4.94345995521779,NA,3.29124097161455,3.36594413719148,267
"20",1994,4.5699725979337,0.00116658146759057,3.0625887438722,3.11826526192073,266
"21",1995,3.32913226650165,NA,2.21566685055016,2.30602670566851,267
"22",1996,1.90126638159688,0.000981762361798329,1.27993377796999,1.41728226062564,266
"23",1997,1.83984320805337,NA,1.25679773681119,1.26092251830371,267
"24",1998,2.98730688440402,NA,2.01623241164216,2.01596780709507,267
"25",1999,3.43783155930679,0.000944351781278461,2.31696670100317,2.33593010882431,266
"26",2000,3.55343200130081,NA,2.38871841539939,2.51887527098963,267
"27",2001,3.09186550979826,NA,2.0644518380628,2.3444653621835,267
"28",2002,1.96701334239014,0.00469882981181331,1.31102322673068,1.48773096750408,266
"29",2003,2.06549187212119,NA,1.37466507930271,1.4172128043338,267
"30",2004,3.07427745983071,0.00881555981588881,2.04678698215838,2.45809532069007,266
"31",2005,2.89912798395776,0.0102999103416579,1.92337114915105,2.4878466143723,264
"32",2006,2.76357823151937,0.00915826865405478,1.82715041198943,2.01629888339494,266
"33",2007,2.69055203339301,NA,1.79066689841482,1.95978755662944,267
"34",2008,2.86463146421697,NA,1.92649941541454,1.9887652636449,267
"35",2009,4.23792223067279,NA,2.82050187557684,3.05750472341277,267
"36",2010,4.56208929037491,NA,3.03624764676456,3.36430981149162,267
"37",2011,4.43072518607164,NA,2.96313021552977,3.30620376833429,267
"38",2012,4.23324530753519,NA,2.81738920154378,3.22384324976623,267
"39",2013,3.68818721603993,NA,2.47137971458766,2.91188509076143,267
"40",2014,3.20501668141214,NA,2.13306310714034,2.57534079056011,267
"41",2015,3.31864855282462,NA,2.20868953183604,2.32385363138744,267
"42",2016,3.02924109137109,NA,2.02967243222841,2.12867234717731,267
"43",2017,3.19304426758976,NA,2.12509500064777,2.23956263389209,267
"44",2018,3.3986999593734,NA,2.26196685266067,2.40034287986495,267
"45",2019,1.64390907136648,NA,1.09522965223209,1.10781321875731,267
"46",2021,1.36092607496944,NA,0.905749170947709,0.893260390885383,267
"47",2022,3.03576895755122,NA,2.02042217212463,2.3081038176075,267
