"model","period","ersst.year","borealization_index","annual.events"
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,0
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.39446934433007,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,0
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,0
"INM-CM5-0","historical",1954,-1.07055483080979,0
"INM-CM5-0","historical",1954,-1.07055483080979,0
"INM-CM5-0","historical",1954,-1.07055483080979,0
"INM-CM5-0","historical",1954,-1.07055483080979,1
"INM-CM5-0","historical",1954,-1.07055483080979,1
