"year","abundance","SD","sex"
"1975",2.5874346775759,0.527510591219119,"Female"
"1976",2.47673747401807,0.495249330447227,"Female"
"1977",3.19206277474887,0.549929440209042,"Female"
"1978",2.05731277652746,0.404251880905751,"Female"
"1979",4.09280019911076,0.416798007377951,"Female"
"1980",1.59464895324928,0.268738522725348,"Female"
"1981",0.81200868245092,0.24500899384356,"Female"
"1982",0.664583897598514,0.232360559492934,"Female"
"1983",0.506196203388437,0.181255836887184,"Female"
"1984",0.950515573874769,0.215930858604029,"Female"
"1985",0.477326300762407,0.147023176168251,"Female"
"1986",1.21801153416674,0.192259598703268,"Female"
"1987",3.20662570129641,0.111886368811359,"Female"
"1988",1.02437948314744,0.0229285051403801,"Female"
"1989",0.55602287996966,1.77900639766743e-05,"Female"
"1990",1.06622328546406,0.0515770000095743,"Female"
"1991",1.88587647689779,0.0380030814514547,"Female"
"1992",1.81255635124924,0.0984631517152593,"Female"
"1993",2.69390580989614,0,"Female"
"1994",2.48802417239993,0.00371192378720102,"Female"
"1995",1.00824959049467,0,"Female"
"1996",0.241229386752188,0.00340410294765047,"Female"
"1997",0.140787567059333,0,"Female"
"1998",0.317718288422184,0,"Female"
"1999",0.182452111984199,0.0204119491878793,"Female"
"2000",0.367343534803993,0,"Female"
"2001",0.451056465798521,0,"Female"
"2002",0.115965217866008,7.62101671470647e-06,"Female"
"2003",0.443299829957457,0,"Female"
"2004",1.32888337977807,8.70577570202683e-06,"Female"
"2005",1.4717489398222,0.00537461635102488,"Female"
"2006",0.788715043607098,0.105363344154962,"Female"
"2007",0.613365117506862,0,"Female"
"2008",0.215150717802517,0,"Female"
"2009",0.967931154037206,0,"Female"
"2010",2.9008125297433,0,"Female"
"2011",1.09177086384991,0,"Female"
"2012",1.09819394984728,0,"Female"
"2013",0.962988357993295,0,"Female"
"2014",1.40612201026522,0,"Female"
"2015",1.3888731480006,0,"Female"
"2016",1.98728889613741,0,"Female"
"2017",2.4451372885728,0,"Female"
"2018",2.56224117656198,0,"Female"
"2019",0.11577681876266,0,"Female"
"2021",0.00919557142827746,0,"Female"
"2022",0.845842000511645,0,"Female"
"2020",NA,NA,"Female"
"1975",3.978948660379,0.606280601264488,"Male"
"1976",3.98164200109022,0.557830529871131,"Male"
"1977",4.38343244715613,0.558759090992101,"Male"
"1978",3.41096333877548,0.441824448858555,"Male"
"1979",4.57430892941978,0.31567516664763,"Male"
"1980",3.28925725167651,0.318739805807354,"Male"
"1981",2.36974589241957,0.320814174611847,"Male"
"1982",2.03843313657703,0.236717920502449,"Male"
"1983",1.79316796997048,0.28887118551796,"Male"
"1984",1.72105372296411,0.297045607386781,"Male"
"1985",0.860606246688632,0.253018015420837,"Male"
"1986",1.76330558566189,0.24958121582224,"Male"
"1987",4.1015359758745,0.164597123245687,"Male"
"1988",3.5199289449156,0.0266244169575469,"Male"
"1989",2.79963491860965,0.0111895757080079,"Male"
"1990",2.06561126316677,0.021253682237239,"Male"
"1991",2.85121424860457,0.0232148148117201,"Male"
"1992",2.72333295690652,0.140842756643245,"Male"
"1993",4.49025716048739,1.76794239610891e-05,"Male"
"1994",3.73759297308872,0.00172564802829439,"Male"
"1995",3.23927397519251,0,"Male"
"1996",1.98953351651892,0.00649464207972505,"Male"
"1997",0.935364465923571,0,"Male"
"1998",0.633431866898771,1.42984118745182e-05,"Male"
"1999",0.310266082683015,0.0134306812898726,"Male"
"2000",0.817454583555305,1.31130649126866e-05,"Male"
"2001",1.35614583167872,0,"Male"
"2002",0.506320232705301,1.69769513297903e-05,"Male"
"2003",0.966380090520841,0,"Male"
"2004",1.35565730908148,7.92611161978119e-05,"Male"
"2005",1.77791244987036,0.00614508835423976,"Male"
"2006",1.03598068121392,0.00822999877887494,"Male"
"2007",1.15944064579659,0,"Male"
"2008",0.812900749605844,0,"Male"
"2009",0.891329131417927,0,"Male"
"2010",2.11723975738182,0,"Male"
"2011",1.61463460206935,0,"Male"
"2012",1.16298177580431,0,"Male"
"2013",0.946229099007129,0,"Male"
"2014",1.30837634700712,0,"Male"
"2015",1.30718728944874,0,"Male"
"2016",2.16751346262713,0,"Male"
"2017",3.38692891860651,0,"Male"
"2018",5.53850912445112,0,"Male"
"2019",1.84001812561624,0,"Male"
"2021",0.134226631888481,0,"Male"
"2022",0.501314603816397,0,"Male"
"2020",NA,NA,"Male"
