"model","model_weight"
"CanESM5-CanOE",2.0777414935827
"CNRM-CM6-1",1.82967317322681
"CESM2",1.79001088409872
"CMCC-ESM2",1.58622944525393
"HadGEM3-GC31-LL",1.46948448184596
"CESM2-WACCM",1.42689413164396
"MIROC6",1.27204053496833
"NorESM2-MM",1.1305197079558
"BCC-CSM2-MR",1.10183576768159
"CIESM",1.06962595682564
"CAMS-CSM1-0",0.993741825957372
"INM-CM5-0",0.954969521178548
"HadGEM3-GC31-MM",0.915791453318941
"ACCESS-CM2",0.856124780892675
"NorESM2-LM",0.709030043396701
"INM-CM4-8",0.599513729064368
"MIROC-ES2L",0.568959204898581
"EC-Earth3-CC",0.568924273106022
"CanESM5",0.550823873537494
"ACCESS-ESM1-5",0.53023006953533
"UKESM1-0-LL",0.423150772138748
"GISS-E2-1-G",0.292971342191433
"CMCC-CM2-SR5",0.281713533700359
