"year","preind_prob","hist_prob","FAR","LCI_FAR","UCI_FAR","RR","LCI_RR","UCI_RR"
1972,0.575268,0.615145,0.0642203010306332,-0.00506141235374898,0.132167916581056,1.06862758521195,0.994964076531507,1.15229664713519
1973,0.579583,0.610404,0.0498826194509683,-0.0207444439686551,0.116139192278385,1.05250153346542,0.979677142411865,1.13139986665747
1974,0.593641,0.621486,0.0442190412463278,-0.0246175331237367,0.110944187639103,1.04626482756466,0.975973929463528,1.12478877714605
1975,0.794393,0.858176,0.0741700037060956,0.034432698990429,0.109981471803886,1.08011190391648,1.0356605893286,1.12357211487136
1976,0.797031,0.850735,0.0629477424189698,0.0246616142119203,0.101372989736279,1.0671763414577,1.02528518775768,1.11280874999131
1977,0.283831,0.376158,0.244244308611318,0.148140096618357,0.33415378895642,1.32317892064104,1.17390194799671,1.50184829982392
1978,0.047857,0.066935,0.27433735600286,-0.0393891402714933,0.507362836438923,1.37805081779012,0.962103567619338,2.02989151847863
1979,0.003925,0.012469,0.660468385598973,0.166071428571429,0.9375,2.94523383857529,1.19914346895075,16
1980,0.049684,0.057287,0.116771015259736,-0.2709375,0.412823990355636,1.13220922011983,0.786820752397344,1.70306685486975
1981,0.021481,0.03514,0.371389730223599,0,0.653928571428571,1.59081079021458,1,2.88957688338493
1982,0.028935,0.041708,0.289749128545854,-0.100086206896552,0.56610247872734,1.40795321792796,0.909019669304913,2.30469166329162
1983,0.116188,0.153889,0.241076282189955,0.0591795385202136,0.388613240418118,1.31765548569968,1.06290205298802,1.63562586910434
1984,0.341301,0.418521,0.183385257708656,0.0931931382352569,0.276941431670282,1.22456765499248,1.10277065841109,1.3830138301383
1985,0.168502,0.230594,0.26681073812791,0.133299492385787,0.396844520940906,1.36390431775644,1.15380110108938,1.65794730333872
1986,0.159167,0.213658,0.252375562770502,0.109825783972125,0.384328636861496,1.33756997524819,1.12337560670111,1.6242431593737
1987,0.030603,0.05118,0.390746247426491,0.0850620567375888,0.614109742441209,1.64135222109993,1.09297030182646,2.59141033081834
1988,0.20562,0.284041,0.27430532304825,0.158816298539135,0.378554335585585,1.37798998912388,1.1888009697089,1.60915114106121
1989,0.009802,0.022904,0.551546508346754,0.166666666666667,0.833333333333333,2.22988563722282,1.2,6
1990,0.242842,0.33057,0.263828190468051,0.158826402683252,0.36905753968254,1.35837855654346,1.18881524953932,1.58493058066951
1991,0.353176,0.447496,0.209854446199533,0.127130736654929,0.289039365452409,1.26558960585195,1.14564693934545,1.40654763626447
1992,0.5292,0.641518,0.174596476549615,0.115854739372089,0.236971840570538,1.21152863004481,1.13103586540724,1.31056762144628
1993,0.128848,0.217125,0.404218849328989,0.277162314677064,0.52051830130017,1.67846867742245,1.38343644818856,2.08558533664917
1994,0.332358,0.472895,0.296395741124981,0.217672529538131,0.372433073424301,1.42125347791226,1.27823710371518,1.59345554657648
1995,0.492253,0.643639,0.234787299243148,0.171603551642066,0.29321245637735,1.30682619226122,1.20715148161514,1.41485232588351
1996,0.020376,0.057463,0.639447500077295,0.428571428571429,0.792452830188679,2.7735211937634,1.75,4.81818181818182
1997,0.133057,0.255359,0.477406498824231,0.367074739018609,0.571995061862383,1.91353317205462,1.57996537924468,2.33642164118786
1998,0.10821,0.22968,0.527295998447782,0.423896462706947,0.621282529456641,2.11548875557707,1.7357990973267,2.6404908085314
1999,0.290266,0.501098,0.420146085630374,0.351640568772005,0.488461538461539,1.72457230212393,1.54235436678386,1.95488721804511
2000,0.088225,0.217089,0.592010089109419,0.494893931256713,0.680372971106251,2.45104100201191,1.9797821920612,3.12864654613556
2001,0.013134,0.058631,0.772234812363416,0.612759216589862,0.896551724137931,4.39048658127497,2.5823726292302,9.66666666666667
2002,0.027068,0.105118,0.740228178848003,0.627834302325581,0.84301733130065,3.84953223781297,2.68697520015622,6.37012995310443
2003,0.016496,0.077142,0.783157899934181,0.647866611433306,0.887534722222222,4.61165059597036,2.83983295100288,8.89163322012967
2004,0.028061,0.125825,0.775524769288179,0.679990291262136,0.855092048570309,4.45483449033088,3.12490519098328,6.90093255845384
2005,0.017343,0.088497,0.802168339338509,0.694444444444444,0.885424107142857,5.05480263703137,3.27272727272727,8.72783947009546
2006,0.214547,0.49541,0.566497187770663,0.508230452674897,0.623280542986425,2.30679011021264,2.03347280334728,2.65449522551198
2007,0.492238,0.758381,0.350719835996149,0.30555,0.396277817334003,1.54016718119556,1.43998848009216,1.65639101678204
2008,0.650854,0.879019,0.259451691820729,0.221326972265675,0.298171594759898,1.35035079947536,1.28423608418756,1.42484971046148
2009,0.657744,0.885859,0.257404912877877,0.220707810534712,0.294583904385682,1.34662889284042,1.28321573540491,1.4176030377208
2010,0.705877,0.920992,0.233505526165233,0.201773110523809,0.268989880232863,1.30464084756803,1.25277663930391,1.36797011827764
2011,0.156098,0.505412,0.690880732066542,0.644872658293206,0.736955468934562,3.23499730924331,2.81589132279664,3.80163767689672
2012,0.794836,0.960821,0.172717767939004,0.144340366899898,0.199793039806003,1.2087773207805,1.16868899889194,1.24967670833251
2013,0.514185,0.859928,0.401966894126202,0.361675428213341,0.441488020797109,1.67214823088912,1.56660113710023,1.79047189180651
2014,0.034318,0.293936,0.882968037181374,0.839157845579078,0.922083406458406,8.54467425749133,6.21727558674087,12.8342366439079
2015,0.010399,0.187808,0.94443106210978,0.907961258804817,0.974099907001461,17.9956651677518,10.8649899706835,38.6098999743524
2016,0.001759,0.066902,0.973312003297459,0.9295523138833,1,37.4700286104576,14.1949303820064,Inf
2017,0.033493,0.353565,0.905096079643128,0.871333175280544,0.936785492388941,10.5369725111423,7.77201117833124,15.8191535106579
2018,0.000704,0.038707,0.981219891707866,0.92852787456446,1,53.2478292693795,13.9914686166971,Inf
2019,0.00073,0.040522,0.981504801450183,0.926783536585366,1,54.0680867689257,13.6581303352072,Inf
2020,0.005343,0.191418,0.971951885561074,0.946338840807763,0.994415709988336,35.6530205328939,18.635452812668,179.073794145937
2021,0.005499,0.202892,0.972798296766816,0.948594517776279,0.990909090909091,36.7624038622733,19.4531780802662,110.000000000001
2022,0.129354,0.660544,0.804072211576005,0.771291344039767,0.833585534293402,5.10392123569507,4.37237495800716,6.00909299413359
