"year","FAR","LCI_FAR","UCI_FAR","RR","LCI_RR","UCI_RR"
1973,0.0746041539447137,0.00178244972577692,0.147484485231697,1.08061863932363,1.00178563252598,1.17299918028094
1974,0.11770479538361,0.051018867630562,0.181080499638364,1.13340749759009,1.05376173022869,1.2211212451998
1975,0.113306156648999,0.0599399220405693,0.165182178541745,1.12778498181604,1.06376179932104,1.19786613833088
1976,0.0756312385363671,0.0370782570619278,0.115345583636326,1.08181933627507,1.0385059921368,1.13038490680965
1977,0.154724669096909,0.0836224792408068,0.225295352417296,1.18304647425544,1.09125330701208,1.29081450991714
1978,0.330547146952157,0.135046230440967,0.50349774339136,1.49375717116936,1.15613115428102,2.01408953673344
1979,0.675216142669403,0.315789473684211,0.909090909090909,3.07897075987401,1.46153846153846,11
1980,0.620566194437173,0.2,0.889035087719298,2.63550581244775,1.25,9.01185770750987
1981,0.403843041170759,-0.0455681818181818,0.724159482758621,1.67741059663858,0.956417780676014,3.62528322525197
1982,0.469967170927024,0,0.760117647058823,1.88667558903662,1,4.16871015203531
1983,0.423694389014748,0.14885859929078,0.630216894977169,1.73519046307809,1.17489291340633,2.70428796344889
1984,0.296258520600118,0.134020618556701,0.425558754635955,1.42097635178866,1.1547619047619,1.74082207374622
1985,0.39309670522547,0.279112646655685,0.485625285257873,1.64770896551403,1.38717928031451,1.94410800402841
1986,0.368524951855492,0.224804017638413,0.488894927536232,1.58359384577165,1.28999636576232,1.95654485520859
1987,0.414181362832302,0.170997095010253,0.587534722222222,1.70701295000578,1.20626839059432,2.42444650223083
1988,0.446750679139438,0.255254851531447,0.611122589531681,1.80750334848045,1.34274120758804,2.57150447179669
1989,0.544627679487499,0.349171842650103,0.709706568208317,2.19600523561587,1.53650389693017,3.44479030692506
1990,0.497147641453746,0.290301358234295,0.66675,1.98865528420907,1.40904877246494,3.00075018754689
1991,0.284494198550456,0.174508741258741,0.393083148065807,1.39761270694675,1.21139986572946,1.64767215939561
1992,0.260606625697236,0.178323220140957,0.332097795497186,1.35246005002815,1.21702356025145,1.49722518245676
1993,0.385954545724657,0.29658297495573,0.466880792171941,1.62854393439023,1.42163178370194,1.87575308733299
1994,0.484876494216645,0.389266409266409,0.572327549596554,1.94128202027839,1.63737514224301,2.3382380582538
1995,0.347440174075735,0.276887115569343,0.412553172951752,1.53242654584755,1.38290994605545,1.70228172824545
1996,0.608455178253655,0.517640245287304,0.691149391149391,2.55398601759017,2.07314144729098,3.23781132801231
1997,0.71578782269111,0.589473684210526,0.820564516129032,3.51849807938796,2.43589743589744,5.57303370786517
1998,0.655277829980528,0.570781175488794,0.728813559322034,2.90088682124366,2.32981393847019,3.6875
1999,0.619546976610586,0.544249487704918,0.688770525746448,2.62844540198711,2.19418294225095,3.21306329485145
2000,0.643862541731472,0.571382339343504,0.705210291145076,2.80790457948964,2.33308165246467,3.39224867748736
2001,0.793016420913939,0.682339572192513,0.88659793814433,4.83130113227105,3.14801565590674,8.81818181818181
2002,0.843984084382959,0.717934782608696,0.940298507462687,6.40960248218914,3.54527938342967,16.75
2003,0.853866370408536,0.75,0.938475609756098,6.84305182041694,4,16.2537165510406
2004,0.870387193494599,0.772133815551537,0.950015432098765,7.71528699178604,4.38854059201651,20.0061747452917
2005,0.886647863377923,0.802462352462352,0.951465083635513,8.82206573074191,5.06232615638199,20.6037235644996
2006,0.817787430570772,0.758468755820451,0.87149631584188,5.48809559698573,4.14025110248934,7.78187805704876
2007,0.581008380810009,0.533722909722488,0.628532237274399,2.38668258313433,2.14464750864091,2.69202364335095
2008,0.387918316388308,0.346152657601978,0.428914050215854,1.63376886904919,1.52940898456885,1.75104990829834
2009,0.329885784776508,0.293117468441949,0.364857932123126,1.4922829232424,1.41466220391086,1.57445089937556
2010,0.304251619080443,0.270205972772792,0.337713382038489,1.43730122473058,1.37024963577657,1.50992028659428
2011,0.558156347801218,0.517378520499109,0.597199926649097,2.26324401182097,2.072017186293,2.48262119636915
2012,0.522906170008104,0.482847975719017,0.561272647777005,2.0960237528475,1.93366738028405,2.27931993511023
2013,0.342779780155383,0.308329970383623,0.375659164963826,1.52156000348928,1.44577610302796,1.60168924389202
2014,0.799592784838004,0.762578616352201,0.83411447656747,4.98984030685555,4.21192052980132,6.02825357697187
2015,0.957962475435327,0.927587730371118,0.982078310329431,23.7882703692874,13.8098143467271,55.7983102253032
2016,0.985137278396253,0.950601851851852,1,67.2824282564703,20.2436738519213,Inf
2017,0.980139614490542,0.949148218609478,1,50.3514898803843,19.6649944732591,Inf
2018,0.986556754319277,0.959575132771009,1,74.3867979318409,24.7372488408036,Inf
2019,1,1,1,Inf,Inf,Inf
2020,0.984671826245288,0.94225,1,65.2393439689831,17.3160173160173,Inf
2021,0.985919687939225,0.964907120743034,1,71.0211532019798,28.4958094397883,Inf
2022,0.958180300699551,0.937943782759133,0.975560407654692,23.9121757623269,16.1144208342343,40.9172127697949
